what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1512795322571
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1512795323056
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1512795323228
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512795328148
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512795329078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512795484644
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1512795491355
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512795524374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512795529029
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512795537706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512795542615
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512795553040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512795554583
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512795555409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512795557107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1512795559373
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512795560859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1512795566472
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512795574900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512795592240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512795595756
