what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1519047655095
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1519047655095
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1519047655095
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1519047655110
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1519047655110
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1519047655110
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1519047655110
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1519047655110
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1519047655110
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1519047655110
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1519047655110
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1519047655110
os,sysinfo,,,"win32",1519047655126
arch,sysinfo,,,"x86_64",1519047655126
ws,sysinfo,,,"win32",1519047655126
locale,sysinfo,,,"en_IN",1519047655126
processors,sysinfo,,,"4",1519047655126
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1519047655126
java.runtime.version,sysinfo,,,"1.8.0_66-b17",1519047655126
java.specification.name,sysinfo,,,"Java Platform API Specification",1519047655126
java.specification.vendor,sysinfo,,,"Oracle Corporation",1519047655126
java.specification.version,sysinfo,,,"1.8",1519047655126
java.vendor,sysinfo,,,"Oracle Corporation",1519047655126
java.version,sysinfo,,,"1.8.0_66",1519047655126
java.vm.info,sysinfo,,,"mixed mode",1519047655126
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1519047655126
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1519047655126
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1519047655126
java.vm.specification.version,sysinfo,,,"1.8",1519047655126
java.vm.vendor,sysinfo,,,"Oracle Corporation",1519047655126
java.vm.version,sysinfo,,,"25.66-b17",1519047655126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1519047656095
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1519047659782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1519047660579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1519047662438
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1519047664017
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1519047714612
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1519047717315
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1519047720487
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1519047720846
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1519047721065
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1519048091324
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1519048092933
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1519048093152
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1519048093277
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1519048093293
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1519048093371
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1519048093480
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1519048093668
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1519048094895
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1519048094957
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1519048102241
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1519048103756
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1519048103756
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1519048171695
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1519048173648
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1519048174508
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1519048177851
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1519048178008
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1519048178039
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1519048178070
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1519048178070
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1519048178133
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1519048178133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1519048215102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1519048225915
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1519048267699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1519048269980
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1519048270543
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1519048271996
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1519187738945
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1519187738945
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1519187738945
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1519187738945
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1519187738945
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1519187738945
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1519187738945
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1519187738945
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1519187738945
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1519187738961
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1519187738961
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1519187738961
