what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1516256262973
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1516256263209
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1516256263213
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1516256263215
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1516256263216
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1516256263218
os,sysinfo,,,"win32",1516256263237
arch,sysinfo,,,"x86_64",1516256263237
ws,sysinfo,,,"win32",1516256263237
locale,sysinfo,,,"en_IN",1516256263237
processors,sysinfo,,,"4",1516256263237
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1516256263237
java.runtime.version,sysinfo,,,"1.8.0_66-b17",1516256263237
java.specification.name,sysinfo,,,"Java Platform API Specification",1516256263237
java.specification.vendor,sysinfo,,,"Oracle Corporation",1516256263237
java.specification.version,sysinfo,,,"1.8",1516256263237
java.vendor,sysinfo,,,"Oracle Corporation",1516256263237
java.version,sysinfo,,,"1.8.0_66",1516256263237
java.vm.info,sysinfo,,,"mixed mode",1516256263237
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1516256263237
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1516256263237
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1516256263237
java.vm.specification.version,sysinfo,,,"1.8",1516256263237
java.vm.vendor,sysinfo,,,"Oracle Corporation",1516256263237
java.vm.version,sysinfo,,,"25.66-b17",1516256263237
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1516256265257
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1516256266196
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1516256289588
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1516256334836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1516257205923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1516257209518
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1516257209568
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1516257223051
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1516257237920
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1516257238186
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1516257254550
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1516257254605
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1516257259880
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1516257262575
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1516257287018
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1516257375255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1516257390407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1516257391012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1516257486359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1516257549473
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1516257559188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1516257570214
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1516257827431
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1516257830591
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1516257843499
