what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1512737099841
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1512737099842
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1512737099842
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1512737099844
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1512737099856
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1512737099858
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1512737099858
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1512737099860
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1512737099862
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1512737099864
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1512737099865
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1512737099867
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1512737099868
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1512737099926
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1512737099927
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1512737099927
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1512737099928
os,sysinfo,,,"win32",1512737099931
arch,sysinfo,,,"x86_64",1512737099931
ws,sysinfo,,,"win32",1512737099931
locale,sysinfo,,,"en_IN",1512737099931
processors,sysinfo,,,"4",1512737099931
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1512737099931
java.runtime.version,sysinfo,,,"1.8.0_66-b17",1512737099931
java.specification.name,sysinfo,,,"Java Platform API Specification",1512737099931
java.specification.vendor,sysinfo,,,"Oracle Corporation",1512737099931
java.specification.version,sysinfo,,,"1.8",1512737099931
java.vendor,sysinfo,,,"Oracle Corporation",1512737099931
java.version,sysinfo,,,"1.8.0_66",1512737099931
java.vm.info,sysinfo,,,"mixed mode",1512737099931
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1512737099931
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1512737099931
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1512737099931
java.vm.specification.version,sysinfo,,,"1.8",1512737099931
java.vm.vendor,sysinfo,,,"Oracle Corporation",1512737099931
java.vm.version,sysinfo,,,"25.66-b17",1512737099931
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1512737099934
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1512737104492
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512737113112
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512737113187
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1512737116977
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512737116998
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1512737117026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512737119205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512737124407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512737129252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512737135233
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1512737162142
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512737167144
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512737176720
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1512737177378
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1512737177384
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1512737235801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512737238242
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512737255442
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512737255528
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512737255601
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1512737260106
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.0.v201105180000,"org.eclipse.jpt.jaxb.ui",1512737260120
started,bundle,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui",1512737260140
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1512737260182
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1512737260191
started,bundle,org.eclipse.pde.api.tools,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools",1512737260229
started,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1512737260230
started,bundle,org.eclipse.jpt.jaxb.core,1.0.0.v201105240000,"org.eclipse.jpt.jaxb.core",1512737260356
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1512737260696
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1512737260755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512737279783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512737279809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1512737283669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512737286767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512737286851
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1512737291296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1512737303247
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1512737305303
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1512737305471
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1512737305479
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1512737305521
