what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536307898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536311038
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536564737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536566129
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536575873
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536577569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536597175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536601189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536604621
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536620868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536813676
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1512536836144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1512536844400
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536846792
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536849053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536854502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536855694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536856076
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536858408
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1512536872989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536946150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536947630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536948354
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512536952651
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1512536960983
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1512537045874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512537074622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512537076949
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1512537144402
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1512537162873
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512537165496
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512537183443
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1512537252836
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1512537338229
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1512537355084
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1512537361635
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1512537362021
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1512537362033
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1512537362343
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1512537362561
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512537363422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512537366734
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1512537369633
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512537396344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512537670041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512537836820
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512537843641
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512537856651
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512537882347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512537886837
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512537889525
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1512537903216
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1512537904902
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1512537904935
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1512537905060
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1512537905064
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1512537905140
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1512537905145
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1512538074823
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1512538075128
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538077097
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538079470
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1512538080954
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512538115147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538120293
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538127437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538136610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538149540
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1512538166697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538171393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538179093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1512538184908
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512538189056
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512538194542
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1512538201176
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538205317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538207200
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1512538208466
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1512538407333
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512538407853
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512538407934
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538409452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538418164
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538419890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538439938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1512538462383
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1512538465563
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1512538469071
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512538471231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1512538485722
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1512538490808
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1512538497560
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512538503993
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512538505160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1512538513079
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512538514691
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512538516112
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512538519545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1512538538555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512538541683
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512538544336
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512538546989
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512538549451
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512538552548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512538555111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512538556853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1512538558947
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1512538561203
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1512538591670
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1512538592777
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1512538593196
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538671538
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1512538754983
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1512538928450
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1512538932507
